#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.81e+01    3.97e+01      2.82e+00    2.73e+00      8.72e-01    1.24e+00      1.90e-01    1.50e-01    1.0e-03
    500      1.13e+01    1.45e+01      5.77e-01    5.22e-01      3.54e-01    4.57e-01      3.88e-01    2.60e-01    1.0e-03
   1000      8.91e+00    1.24e+01      1.28e-01    1.18e-01      2.81e-01    3.90e-01      4.13e-01    4.12e-01    1.0e-03
   1500      6.93e+00    8.08e+00      5.98e-01    5.40e-01      2.15e-01    2.53e-01      2.96e-01    2.99e-01    1.0e-03
   2000      6.02e+00    9.74e+00      6.47e-01    6.52e-01      1.86e-01    3.06e-01      1.04e-01    6.09e-02    1.0e-03
   2500      5.89e+00    8.18e+00      2.55e-01    2.98e-01      1.86e-01    2.58e-01      8.20e-02    8.25e-02    1.0e-03
   3000      6.71e+00    8.12e+00      9.86e-02    1.07e-01      2.12e-01    2.56e-01      2.46e-01    2.51e-01    1.0e-03
   3500      3.29e+00    4.54e+00      5.39e-02    4.10e-03      1.03e-01    1.43e-01      2.35e-01    1.86e-01    1.0e-03
   4000      5.20e+00    5.62e+00      6.72e-01    6.90e-01      1.59e-01    1.73e-01      4.09e-02    9.09e-02    1.0e-03
   4500      5.36e+00    5.14e+00      2.90e-01    2.98e-01      1.68e-01    1.61e-01      1.18e-01    1.15e-01    1.0e-03
   5000      5.20e+00    5.38e+00      9.05e-02    9.24e-02      1.64e-01    1.70e-01      1.94e-01    1.64e-01    1.0e-03
   5500      4.79e+00    6.65e+00      2.09e-01    2.30e-01      1.51e-01    2.10e-01      1.65e-01    1.75e-01    1.0e-03
   6000      4.90e+00    4.29e+00      1.15e-01    1.25e-01      1.55e-01    1.35e-01      6.40e-02    7.38e-02    1.0e-03
   6500      3.64e+00    5.98e+00      2.63e-02    2.67e-02      1.15e-01    1.89e-01      6.11e-02    9.48e-02    1.0e-03
   7000      4.71e+00    7.00e+00      3.31e-01    3.26e-01      1.47e-01    2.20e-01      1.92e-01    2.98e-01    1.0e-03
   7500      5.98e+00    6.56e+00      5.24e-01    5.75e-01      1.86e-01    2.04e-01      7.06e-02    1.20e-01    1.0e-03
