# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2111.9999999999995
  1 0.005 18.712 474.985
  2 0.015 20.536 464.207
  3 0.025 21.546 465.448
  4 0.035 21.65 455.075
  5 0.045 21.294 473.788
  6 0.055 21.6 512.598
  7 0.065 21.724 541.041
  8 0.075 21.878 537.372
  9 0.085 21.998 562.378
  10 0.095 21.954 595.444
  11 0.105 21.86 564.102
  12 0.115 21.076 536.059
  13 0.125 19.476 549.362
  14 0.135 19.2 596.376
  15 0.145 20.71 567.808
  16 0.155 21.744 551.652
  17 0.165 21.964 571.994
  18 0.175 21.948 586.015
  19 0.185 21.942 535.797
  20 0.195 21.716 535.636
  21 0.205 21.724 536.752
  22 0.215 21.374 557.274
  23 0.225 21.468 553.532
  24 0.235 21.474 599.924
  25 0.245 20.37 597.324
  26 0.255 18.354 614.769
  27 0.265 19.016 624.541
  28 0.275 20.77 663.45
  29 0.285 21.534 633.853
  30 0.295 21.522 614.695
  31 0.305 21.37 623.032
  32 0.315 21.656 631.12
  33 0.325 21.816 659.718
  34 0.335 21.958 683.249
  35 0.345 21.916 707.044
  36 0.355 21.73 676.65
  37 0.365 21.032 659.873
  38 0.375 19.132 689.41
  39 0.385 19.454 678.044
  40 0.395 20.81 696.176
  41 0.405 21.93 676.352
  42 0.415 21.966 668.021
  43 0.425 21.942 668.457
  44 0.435 21.86 669.166
  45 0.445 21.604 669.012
  46 0.455 21.372 664.746
  47 0.465 21.486 707.62
  48 0.475 21.414 670.271
  49 0.485 20.342 702.127
  50 0.495 18.81 696.178
  51 0.505 19.05 773.95
  52 0.515 20.432 741.284
  53 0.525 21.33 742.13
  54 0.535 21.428 738.334
  55 0.545 21.496 729.868
  56 0.555 21.71 726.94
  57 0.565 21.798 731.128
  58 0.575 21.958 737.425
  59 0.585 21.97 724.722
  60 0.595 21.632 687.641
  61 0.605 20.636 665.998
  62 0.615 19.102 686.92
  63 0.625 19.664 658.929
  64 0.635 21.108 621.991
  65 0.645 21.884 652.8
  66 0.655 21.972 642.173
  67 0.665 21.974 637.085
  68 0.675 21.864 671.501
  69 0.685 21.598 654.774
  70 0.695 21.4 612.791
  71 0.705 21.442 609.999
  72 0.715 21.638 589.97
  73 0.725 20.94 621.855
  74 0.735 19.2 644.09
  75 0.745 18.526 633.986
  76 0.755 20.018 648.568
  77 0.765 21.336 620.224
  78 0.775 21.522 574.547
  79 0.785 21.378 583.272
  80 0.795 21.556 546.213
  81 0.805 21.728 565.777
  82 0.815 21.916 572.406
  83 0.825 21.982 552.357
  84 0.835 21.996 545.561
  85 0.845 21.934 561.027
  86 0.855 21.11 561.56
  87 0.865 19.404 563.403
  88 0.875 19.144 556.106
  89 0.885 20.758 573.914
  90 0.895 21.668 531.728
  91 0.905 21.986 558.044
  92 0.915 21.98 545.179
  93 0.925 21.922 541.677
  94 0.935 21.798 531.882
  95 0.945 21.498 569.422
  96 0.955 21.46 581.541
  97 0.965 21.488 569.007
  98 0.975 21.562 539.434
  99 0.985 20.472 502.67
  100 0.995 18.898 488.357
50000 100 2111.9999999999995
  1 0.005 18.766 508.086
  2 0.015 20.194 505.404
  3 0.025 21.428 516.45
  4 0.035 21.654 524.156
  5 0.045 21.358 528.119
  6 0.055 21.524 544.4
  7 0.065 21.71 559.52
  8 0.075 21.97 540.783
  9 0.085 21.998 558.035
  10 0.095 21.974 517.901
  11 0.105 21.756 528.503
  12 0.115 20.818 543.302
  13 0.125 19.558 548.606
  14 0.135 19.354 545.131
  15 0.145 20.876 533.014
  16 0.155 21.758 547.525
  17 0.165 21.892 560.753
  18 0.175 21.944 555.333
  19 0.185 21.922 571.357
  20 0.195 21.754 564.933
  21 0.205 21.45 552.611
  22 0.215 21.412 562.56
  23 0.225 21.584 551.309
  24 0.235 21.412 555.405
  25 0.245 20.062 581.765
  26 0.255 18.496 640.637
  27 0.265 19.132 653.66
  28 0.275 20.922 650.113
  29 0.285 21.536 617.049
  30 0.295 21.376 604.885
  31 0.305 21.604 626.296
  32 0.315 21.556 661.976
  33 0.325 21.904 655.326
  34 0.335 21.96 648.219
  35 0.345 21.94 642.57
  36 0.355 21.832 624.799
  37 0.365 21.06 638.247
  38 0.375 19.406 666.08
  39 0.385 19.236 669.749
  40 0.395 20.858 684.836
  41 0.405 21.686 699.037
