# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  1 0.005 19.174 804.605
  2 0.015 20.208 833.531
  3 0.025 21.194 823.18
  4 0.035 21.424 817.995
  5 0.045 21.594 851.812
  6 0.055 21.494 863.894
  7 0.065 21.758 840.309
  8 0.075 21.872 824.46
  9 0.085 21.964 875.928
  10 0.095 21.854 887.321
  11 0.105 21.702 838.672
  12 0.115 20.652 835.868
  13 0.125 19.326 882.03
  14 0.135 19.882 918.299
  15 0.145 20.888 908.017
  16 0.155 21.704 906.056
  17 0.165 21.924 901.74
  18 0.175 21.93 904.664
  19 0.185 21.868 883.716
  20 0.195 21.7 910.484
  21 0.205 21.492 927.153
  22 0.215 21.482 948.501
  23 0.225 21.34 956.656
  24 0.235 20.83 929.459
  25 0.245 19.542 916.488
  26 0.255 19.064 903.712
  27 0.265 19.944 936.571
  28 0.275 20.852 954.623
  29 0.285 21.414 930.153
  30 0.295 21.538 861.446
  31 0.305 21.49 864.698
  32 0.315 21.768 859.903
  33 0.325 21.844 923.617
  34 0.335 21.932 950.963
  35 0.345 21.946 953.827
  36 0.355 21.52 963.146
  37 0.365 20.572 898.505
  38 0.375 19.764 876.89
  39 0.385 19.688 912.002
  40 0.395 20.89 960.802
  41 0.405 21.66 965.862
  42 0.415 21.908 916.045
  43 0.425 21.96 967.337
  44 0.435 21.84 945.167
  45 0.445 21.516 981.9
  46 0.455 21.58 975.027
  47 0.465 21.428 1017.02
  48 0.475 21.342 997.109
  49 0.485 20.29 998.274
  50 0.495 19.236 999.368
  51 0.505 19.184 1002.49
  52 0.515 20.374 1005.29
  53 0.525 21.124 1072.67
  54 0.535 21.39 1070.9
  55 0.545 21.476 997.693
  56 0.555 21.598 1051.9
  57 0.565 21.86 1042.5
  58 0.575 21.904 979.992
  59 0.585 21.934 1005.89
  60 0.595 21.638 1003.56
  61 0.605 20.744 963.272
  62 0.615 19.75 918.025
  63 0.625 19.72 889.87
  64 0.635 20.704 912.888
  65 0.645 21.552 872.348
  66 0.655 21.908 911.236
  67 0.665 21.95 917.594
  68 0.675 21.854 938.627
  69 0.685 21.616 922.685
  70 0.695 21.644 943.955
  71 0.705 21.436 918.122
  72 0.715 21.374 949.796
  73 0.725 20.714 940.461
  74 0.735 19.656 933.391
  75 0.745 19.044 892.366
  76 0.755 19.92 891.566
  77 0.765 20.848 918.31
  78 0.775 21.46 901.746
  79 0.785 21.482 867.337
  80 0.795 21.52 868.857
  81 0.805 21.738 866.669
  82 0.815 21.814 837.331
  83 0.825 21.968 869.722
  84 0.835 21.932 801.275
  85 0.845 21.844 826.159
  86 0.855 20.914 841.873
  87 0.865 20.052 790.551
  88 0.875 19.356 747.668
  89 0.885 20.626 804.476
  90 0.895 21.36 863.271
  91 0.905 21.912 916.51
  92 0.915 21.936 906.953
  93 0.925 21.836 914.943
  94 0.935 21.842 911.703
  95 0.945 21.57 899.286
  96 0.955 21.43 859.972
  97 0.965 21.556 799.026
  98 0.975 21.288 783.708
  99 0.985 20.606 773.628
  100 0.995 19.258 813.233
50000 100 2112.0000000000005
  1 0.005 19.166 781.914
  2 0.015 20.164 797.057
  3 0.025 21.138 813.866
  4 0.035 21.512 810.55
  5 0.045 21.532 796.575
  6 0.055 21.524 837.761
  7 0.065 21.68 838.278
  8 0.075 21.866 822.734
  9 0.085 21.93 842.422
  10 0.095 21.94 841.945
  11 0.105 21.792 811.858
  12 0.115 21.136 850.05
  13 0.125 19.806 829.945
  14 0.135 19.358 928.172
  15 0.145 20.552 923.905
  16 0.155 21.486 908.548
  17 0.165 21.932 900.091
  18 0.175 21.902 930.453
  19 0.185 21.924 946.167
  20 0.195 21.644 944.6
  21 0.205 21.602 978.28
  22 0.215 21.368 988.547
  23 0.225 21.46 938.096
  24 0.235 20.988 936.516
  25 0.245 19.696 957.994
  26 0.255 18.938 975.694
  27 0.265 19.68 911.866
  28 0.275 20.834 929.799
  29 0.285 21.476 919.996
  30 0.295 21.434 946.995
  31 0.305 21.558 928.062
  32 0.315 21.682 914.143
  33 0.325 21.87 935.588
  34 0.335 21.924 1012
  35 0.345 21.93 966.5
  36 0.355 21.378 949.717
  37 0.365 20.648 889.837
  38 0.375 19.488 886.083
  39 0.385 19.998 901.291
  40 0.395 20.86 936.647
  41 0.405 21.738 875.851
  42 0.415 21.916 887.027
  43 0.425 21.96 909.979
  44 0.435 21.78 951.747
  45 0.445 21.746 1028.18
  46 0.455 21.428 1003.99
  47 0.465 21.418 1024.76
  48 0.475 21.232 997.48
  49 0.485 20.212 1028.33
  50 0.495 19.284 1066.2
  51 0.505 19.194 1084.23
  52 0.515 20.45 1098.08
  53 0.525 21.016 1081.44
  54 0.535 21.364 980.681
  55 0.545 21.564 980.375
  56 0.555 21.678 1004.28
  57 0.565 21.81 1041.39
  58 0.575 21.92 1040.4
  59 0.585 21.894 1004
  60 0.595 21.48 972.067
  61 0.605 20.744 944.809
  62 0.615 19.316 952.601
  63 0.625 19.952 922.218
  64 0.635 20.922 883.254
  65 0.645 21.73 834.5
  66 0.655 21.966 885.718
  67 0.665 21.894 925.974
  68 0.675 21.858 923.197
  69 0.685 21.576 949.922
  70 0.695 21.44 980.49
  71 0.705 21.598 964.717
  72 0.715 21.264 941.691
  73 0.725 20.696 954.114
  74 0.735 19.408 920.037
  75 0.745 19.076 918.108
  76 0.755 20.1 936.102
  77 0.765 21.002 977.309
  78 0.775 21.39 958.006
  79 0.785 21.534 882.459
  80 0.795 21.578 862.591
  81 0.805 21.746 819.037
  82 0.815 21.882 846.896
  83 0.825 21.958 807.979
  84 0.835 21.91 817.973
  85 0.845 21.826 810.588
  86 0.855 20.852 818.572
  87 0.865 19.628 823.533
  88 0.875 19.848 807.362
  89 0.885 20.548 865.797
  90 0.895 21.444 867.723
  91 0.905 21.898 871.734
  92 0.915 21.974 810.599
  93 0.925 21.966 824.492
  94 0.935 21.658 797.634
  95 0.945 21.542 833.601
  96 0.955 21.538 844.773
  97 0.965 21.57 818.245
  98 0.975 21.4 790.907
  99 0.985 20.518 778.519
  100 0.995 19.37 782.378
55000 100 2112.0000000000005
  1 0.005 19.216 780.523
  2 0.015 20.482 735.876
  3 0.025 21.358 733.359
  4 0.035 21.472 731.826
  5 0.045 21.514 768.404
  6 0.055 21.604 790.757
  7 0.065 21.672 826.758
  8 0.075 21.854 817.075
  9 0.085 21.944 843.5
  10 0.095 21.99 821.215
  11 0.105 21.796 838.738
  12 0.115 20.918 889.672
  13 0.125 19.924 930.166
  14 0.135 19.552 967.267
  15 0.145 20.328 954.24
  16 0.155 21.592 903.707
  17 0.165 21.874 881.355
  18 0.175 21.984 854.42
  19 0.185 21.868 901.469
  20 0.195 21.656 908.558
  21 0.205 21.616 922.124
  22 0.215 21.536 937.968
  23 0.225 21.416 933.456
  24 0.235 21.014 923.783
  25 0.245 20.044 901.003
  26 0.255 19.206 956.245
  27 0.265 19.542 931.971
  28 0.275 20.52 940.041
  29 0.285 21.228 929.154
  30 0.295 21.528 910.248
  31 0.305 21.534 936.537
  32 0.315 21.57 996.828
  33 0.325 21.85 1003.93
  34 0.335 21.944 1021.96
  35 0.345 21.904 939.411
  36 0.355 21.63 906.886
  37 0.365 20.866 914.484
  38 0.375 19.656 886.097
  39 0.385 19.504 948.393
  40 0.395 20.766 937.7
  41 0.405 21.676 892.667
  42 0.415 21.944 914.406
  43 0.425 21.908 1002.08
  44 0.435 21.854 998.516
  45 0.445 21.618 979.65
  46 0.455 21.622 1020.38
  47 0.465 21.378 995.84
  48 0.475 21.156 1037.41
  49 0.485 20.424 1036.71
  50 0.495 19.106 1052.52
  51 0.505 19.33 1034.93
  52 0.515 20.424 1006.67
  53 0.525 21.026 1067.48
  54 0.535 21.308 1039.42
  55 0.545 21.556 1004.43
  56 0.555 21.744 1045.99
  57 0.565 21.696 1081.87
  58 0.575 21.846 1050.56
  59 0.585 21.98 985.453
  60 0.595 21.656 966.434
  61 0.605 20.566 994.821
  62 0.615 19.428 977.188
  63 0.625 19.896 872.432
  64 0.635 20.808 942.537
  65 0.645 21.692 957.506
  66 0.655 21.958 936.791
  67 0.665 21.972 937.67
  68 0.675 21.782 916.373
  69 0.685 21.61 907.235
  70 0.695 21.574 943.787
  71 0.705 21.48 949.037
